city,country,macro_region,swap_fraction,n_replicates_total,n_replicates_pass,n_replicates_fail,n_nodes,n_edges,pc_cebh,pc_road,road_gap,pc_geometry_null_mean,geometry_null_gap_mean,road_minus_geometry_mean,geometry_fraction_of_road_gap_mean,remaining_fraction_after_geometry_mean,accepted_swaps_per_edge_mean,acceptance_rate_mean,length_bin_tvd_mean,degree_max_abs_drift_max,threshold_boundary_hits,null_mobility_index_mean,runtime_seconds_mean,pc_spatial_null,spatial_null_gap,road_minus_spatial,remaining_fraction_after_spatial,geometry_vs_spatial_residual_change
Johannesburg,South Africa,Africa,0.02,3,3,0,22312,32632,0.454250595097234,0.65,0.195749404902766,0.6750000000000002,0.22074940490276598,-0.025000000000000005,1.1277143090801132,-0.1277143090801129,0.0200110321157146,0.0024606291648074335,0.0,0,0,0.007904574658565566,17.188961187998455,0.575,0.1207494049027659,0.075,0.3831429272403387,-0.1
Kampala,Uganda,Africa,0.01,3,3,0,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.8249999999999998,0.2505478606026119,0.0,1.0,0.0,0.010002174385736,0.0017258163784200668,0.0,0,0,0.003056614177134967,16.281497081120808,0.7,0.1255478606026119,0.125,0.4989066747540884,-0.125
Kampala,Uganda,Africa,0.02,3,3,0,35927,41391,0.574452139397388,0.825,0.2505478606026119,0.8249999999999998,0.2505478606026119,0.0,1.0,0.0,0.020004348771472,0.0016215179662797334,0.0,0,0,0.004937862405912333,32.53769906361898,0.7,0.1255478606026119,0.125,0.4989066747540884,-0.125
Karachi,Pakistan,Asia,0.01,3,3,0,52156,78992,0.4466206054300997,0.675,0.2283793945699003,0.6750000000000002,0.2283793945699003,0.0,1.0000000000000002,0.0,0.0100010127607859,0.0022373665022834667,0.0,0,0,0.006792228916175834,26.186691681543987,0.575,0.1283793945699002,0.1,0.4378678741500604,-0.1
Karachi,Pakistan,Asia,0.02,3,3,0,52156,78992,0.4466206054300997,0.675,0.2283793945699003,0.6916666666666668,0.24504606123656694,-0.0166666666666666,1.07297797902501,-0.07297797902500973,0.0200020255215718,0.0021606876133986003,0.0,0,0,0.013025693657628533,50.133719046910606,0.575,0.1283793945699002,0.1,0.4378678741500604,-0.11666666666666661
Kuala Lumpur,Malaysia,Asia,0.01,3,3,0,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.6999999999999998,0.2030983884482723,0.0,1.0000000000000004,0.0,0.0100001960822761,0.0017601249898678,0.0,0,0,0.004050158946244733,20.501239856084187,0.625,0.1280983884482724,0.0749999999999999,0.3692791487565245,-0.0749999999999999
Kuala Lumpur,Malaysia,Asia,0.02,3,3,0,37213,50999,0.4969016115517276,0.7,0.2030983884482723,0.6999999999999998,0.2030983884482723,0.0,1.0000000000000004,0.0,0.0200003921645522,0.0016642675126222334,0.0,0,0,0.0067303067810689995,40.72307833035787,0.625,0.1280983884482724,0.0749999999999999,0.3692791487565245,-0.0749999999999999
Lagos,Nigeria,Africa,0.01,3,3,0,13226,17952,0.4953369019369792,0.75,0.2546630980630208,0.7333333333333334,0.23799643139635407,0.016666666666666666,0.9345540567383571,0.06544594326164294,0.0100267379679144,0.0015839418599439999,0.0,0,0,0.004223637401963333,7.488470554351807,0.625,0.1296630980630208,0.125,0.4908445744623219,-0.10833333333333334
Lagos,Nigeria,Africa,0.02,3,3,0,13226,17952,0.4953369019369792,0.75,0.2546630980630208,0.725,0.22966309806302068,0.025000000000000005,0.9018310851075356,0.09816891489246442,0.0199977718360071,0.0017187514218600668,0.0,0,0,0.008339378220891732,13.141318480173746,0.625,0.1296630980630208,0.125,0.4908445744623219,-0.09999999999999999
Lima,Peru,Latin America,0.01,3,3,0,49410,75796,0.4428345242198864,0.65,0.2071654757801135,0.65,0.2071654757801136,0.0,1.0000000000000009,0.0,0.0100005277323341,0.0017273839469262333,0.0,0,0,0.006586742218440834,30.852110147476196,0.55,0.1071654757801136,0.0999999999999999,0.4827059123796307,-0.0999999999999999
Lima,Peru,Latin America,0.02,3,3,0,49410,75796,0.4428345242198864,0.65,0.2071654757801135,0.65,0.2071654757801136,0.0,1.0000000000000009,0.0,0.0200010554646683,0.0016750513523392,0.0,0,0,0.011854330777077133,59.58643500010172,0.55,0.1071654757801136,0.0999999999999999,0.4827059123796307,-0.0999999999999999
Lisbon,Portugal,Europe,0.01,3,3,0,26686,36745,0.4955161486076462,0.75,0.2544838513923538,0.725,0.22948385139235372,0.025000000000000005,0.9017619394581704,0.0982380605418296,0.0099877534358416,0.0019007149389022669,0.0,0,0,0.004715187014223833,13.012122313181559,0.625,0.1294838513923538,0.125,0.4911903027091476,-0.09999999999999999
Lisbon,Portugal,Europe,0.02,3,3,0,26686,36745,0.4955161486076462,0.75,0.2544838513923538,0.775,0.2794838513923538,-0.025000000000000005,1.0982380605418296,-0.0982380605418296,0.0200027214587018,0.0018615706642860668,0.0,0,0,0.004962998608902367,26.94985667864482,0.625,0.1294838513923538,0.125,0.4911903027091476,-0.15
London,United Kingdom,Europe,0.01,3,3,0,48353,62602,0.5199847165924646,0.775,0.2550152834075354,0.775,0.2550152834075354,0.0,1.0000000000000002,0.0,0.009999680521389,0.0018102861614117333,0.0,0,0,0.0032696447363728663,29.078882614771526,0.65,0.1300152834075354,0.125,0.4901667003237595,-0.125
London,United Kingdom,Europe,0.02,3,3,0,48353,62602,0.5199847165924646,0.775,0.2550152834075354,0.775,0.2550152834075354,0.0,1.0000000000000002,0.0,0.0199993610427781,0.0017619597803036667,0.0,0,0,0.0064353266526720335,51.8013174533844,0.65,0.1300152834075354,0.125,0.4901667003237595,-0.125
